Date,Hour,Stops,Price
2023-02-03,10:15,Direto,2442.53
2023-02-03,12:40,Direto,2442.53
2023-02-03,16:55,Direto,2442.53
2023-02-03,21:05,Direto,2442.53
2023-02-08,09:55,Direto,2235.53
2023-02-08,12:40,Direto,2235.53
2023-02-08,16:25,Direto,2235.53
2023-02-08,21:05,Direto,2235.53
2023-02-10,10:15,Direto,1798.53
2023-02-10,12:40,Direto,1798.53
2023-02-10,16:55,Direto,1798.53
2023-02-10,21:05,Direto,1798.53
2023-02-15,09:55,Direto,1379.53
2023-02-15,12:40,Direto,1379.53
2023-02-15,16:25,Direto,1379.53
2023-02-15,21:05,Direto,1379.53
2023-02-17,10:20,Direto,3553.53
2023-02-17,12:40,Direto,3553.53
2023-02-17,21:05,Direto,957.53
2023-02-22,09:55,Direto,957.53
2023-02-22,16:25,Direto,957.53
2023-02-22,21:05,Direto,957.53
2023-02-24,10:20,Direto,378.53
2023-02-24,16:55,Direto,378.53
2023-02-24,21:05,Direto,378.53
2023-03-01,09:40,Direto,659.53
2023-03-01,12:40,Direto,659.53
2023-03-01,16:25,Direto,659.53
2023-03-01,21:05,Direto,804.53
2023-03-03,09:45,Direto,445.53
2023-03-03,12:40,Direto,972.53
2023-03-03,16:55,Direto,445.53
2023-03-03,21:05,Direto,601.53
2023-03-08,09:40,Direto,445.53
2023-03-08,12:40,Direto,445.53
2023-03-08,16:25,Direto,445.53
2023-03-08,21:05,Direto,601.53
2023-03-10,09:45,Direto,445.53
2023-03-10,12:40,Direto,1612.53
2023-03-10,16:55,Direto,445.53
2023-03-10,21:05,Direto,601.53
2023-03-15,09:40,Direto,445.53
2023-03-15,12:40,Direto,445.53
2023-03-15,16:25,Direto,445.53
2023-03-15,21:05,Direto,601.53
2023-03-17,09:45,Direto,445.53
2023-03-17,12:40,Direto,972.53
2023-03-17,16:55,Direto,445.53
2023-03-17,21:05,Direto,601.53
2023-03-22,09:40,Direto,445.53
2023-03-22,12:40,Direto,445.53
2023-03-22,16:25,Direto,445.53
2023-03-22,21:05,Direto,601.53
2023-03-24,09:45,Direto,933.53
2023-03-24,12:40,Direto,1121.53
2023-03-24,16:55,Direto,445.53
2023-03-24,21:05,Direto,601.53
2023-03-29,09:50,Direto,445.53
2023-03-29,13:00,Direto,445.53
2023-03-29,16:30,Direto,445.53
2023-03-29,19:50,Direto,601.53
2023-03-31,09:50,Direto,445.53
2023-03-31,13:00,Direto,972.53
2023-03-31,16:30,Direto,445.53
2023-03-31,20:00,Direto,601.53
2023-04-05,09:50,Direto,1733.53
2023-04-05,13:00,Direto,1733.53
2023-04-05,16:30,Direto,1733.53
2023-04-05,19:50,Direto,1733.53
2023-04-07,09:50,Direto,694.53
2023-04-07,20:00,Direto,875.53
2023-04-12,09:50,Direto,292.53
2023-04-12,13:00,Direto,292.53
2023-04-12,16:30,Direto,292.53
2023-04-12,19:50,Direto,2235.53
2023-04-14,09:50,Direto,292.53
2023-04-14,13:00,Direto,292.53
2023-04-14,16:30,Direto,292.53
2023-04-14,20:00,Direto,2235.53
2023-04-19,09:50,Direto,292.53
2023-04-19,13:00,Direto,292.53
2023-04-19,16:30,Direto,292.53
2023-04-19,19:50,Direto,2235.53
2023-04-21,09:50,Direto,1733.53
2023-04-21,20:00,Direto,1907.53
2023-04-26,09:50,Direto,292.53
2023-04-26,13:00,Direto,292.53
2023-04-26,16:30,Direto,292.53
2023-04-26,19:50,Direto,2235.53
2023-04-28,09:50,Direto,1038.53
2023-04-28,13:00,Direto,2677.53
2023-04-28,16:30,Direto,1226.53
2023-04-28,20:00,Direto,1226.53
2023-05-03,09:50,Direto,292.53
2023-05-03,13:00,Direto,292.53
2023-05-03,16:30,Direto,292.53
2023-05-03,19:50,Direto,2235.53
2023-05-05,09:50,Direto,292.53
2023-05-05,13:00,Direto,292.53
2023-05-05,16:30,Direto,292.53
2023-05-05,20:00,Direto,2235.53
2023-05-10,09:50,Direto,292.53
2023-05-10,13:00,Direto,292.53
2023-05-10,16:30,Direto,292.53
2023-05-10,19:50,Direto,2235.53
2023-05-12,09:50,Direto,292.53
2023-05-12,13:00,Direto,292.53
2023-05-12,16:30,Direto,292.53
2023-05-12,20:00,Direto,2235.53
2023-05-17,09:50,Direto,292.53
2023-05-17,13:00,Direto,292.53
2023-05-17,16:30,Direto,292.53
2023-05-17,19:50,Direto,2235.53
2023-05-19,09:50,Direto,292.53
2023-05-19,13:00,Direto,445.53
2023-05-19,16:30,Direto,292.53
2023-05-19,20:00,Direto,2235.53
2023-05-24,09:50,Direto,292.53
2023-05-24,13:00,Direto,292.53
2023-05-24,16:30,Direto,292.53
2023-05-24,19:50,Direto,2235.53
2023-05-26,09:50,Direto,292.53
2023-05-26,13:00,Direto,292.53
2023-05-26,16:30,Direto,292.53
2023-05-26,20:00,Direto,2235.53
2023-05-31,09:50,Direto,292.53
2023-05-31,13:00,Direto,292.53
2023-05-31,16:30,Direto,292.53
2023-05-31,19:50,Direto,2235.53
2023-06-02,09:50,Direto,292.53
2023-06-02,13:00,Direto,292.53
2023-06-02,16:30,Direto,292.53
2023-06-02,20:00,Direto,2235.53
2023-06-07,09:50,Direto,1733.53
2023-06-07,13:00,Direto,1733.53
2023-06-07,16:30,Direto,1733.53
2023-06-07,19:50,Direto,2408.53
2023-06-09,09:50,Direto,445.53
2023-06-09,13:00,Direto,972.53
2023-06-09,16:30,Direto,292.53
2023-06-09,20:00,Direto,2235.53
2023-06-14,09:50,Direto,292.53
2023-06-14,13:00,Direto,292.53
2023-06-14,16:30,Direto,292.53
2023-06-14,19:50,Direto,2235.53
2023-06-16,09:50,Direto,292.53
2023-06-16,13:00,Direto,445.53
2023-06-16,16:30,Direto,292.53
2023-06-16,20:00,Direto,2235.53
2023-06-21,09:50,Direto,292.53
2023-06-21,13:00,Direto,292.53
2023-06-21,16:30,Direto,292.53
2023-06-21,19:50,Direto,2235.53
2023-06-23,09:50,Direto,1733.53
2023-06-23,13:00,Direto,1907.53
2023-06-23,16:30,Direto,1907.53
2023-06-23,20:00,Direto,2408.53
2023-06-28,09:50,Direto,1733.53
2023-06-28,13:00,Direto,1733.53
2023-06-28,16:30,Direto,1733.53
2023-06-28,19:50,Direto,2408.53
2023-06-30,09:50,Direto,1733.53
2023-06-30,13:00,Direto,1907.53
2023-06-30,16:30,Direto,1907.53
2023-06-30,20:00,Direto,2408.53
2023-07-05,09:50,Direto,1733.53
2023-07-05,13:00,Direto,1733.53
2023-07-05,16:30,Direto,1733.53
2023-07-05,19:50,Direto,2408.53
2023-07-07,09:50,Direto,1733.53
2023-07-07,13:00,Direto,1907.53
2023-07-07,16:30,Direto,1907.53
2023-07-07,20:00,Direto,2408.53
2023-07-12,09:50,Direto,1733.53
2023-07-12,13:00,Direto,1733.53
2023-07-12,16:30,Direto,1733.53
2023-07-12,19:50,Direto,2408.53
2023-07-14,09:50,Direto,1733.53
2023-07-14,13:00,Direto,1907.53
2023-07-14,16:30,Direto,1907.53
2023-07-14,20:00,Direto,2408.53
2023-07-19,09:50,Direto,1733.53
2023-07-19,13:00,Direto,1733.53
2023-07-19,16:30,Direto,1733.53
2023-07-19,19:50,Direto,2408.53
2023-07-21,09:50,Direto,1733.53
2023-07-21,13:00,Direto,1907.53
2023-07-21,16:30,Direto,1907.53
2023-07-21,20:00,Direto,2408.53
2023-07-26,09:50,Direto,1733.53
2023-07-26,13:00,Direto,1733.53
2023-07-26,16:30,Direto,1733.53
2023-07-26,19:50,Direto,2408.53
2023-07-28,09:50,Direto,1733.53
2023-07-28,13:00,Direto,1907.53
2023-07-28,16:30,Direto,1907.53
2023-07-28,20:00,Direto,2408.53
2023-08-02,09:50,Direto,292.53
2023-08-02,13:00,Direto,292.53
2023-08-02,16:30,Direto,292.53
2023-08-02,19:50,Direto,2235.53
